Year,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,Specificity,Brier Score,Spatial IoU,Spatial Precision,Spatial Recall
2016,0.8982785602503912,0.9096244131455399,0.7913385826771654,0.9436619718309859,0.860813704496788,0.9745090259869074,0.8755868544600939,0.0591147200929389,,,
2017,0.892018779342723,0.903755868544601,0.78125,0.9389671361502347,0.8528784648187633,0.9694725473340827,0.8685446009389671,0.06612946593038138,,,
2018,0.8964992389649924,0.9143835616438356,0.7765567765567766,0.9680365296803652,0.8617886178861789,0.978253164029107,0.860730593607306,0.05557380084245356,,,
2019,0.8928571428571429,0.9107142857142857,0.7714285714285715,0.9642857142857143,0.8571428571428571,0.9745894451530612,0.8571428571428571,0.06089040241039501,,,
2020,0.8797564687975646,0.8972602739726028,0.7536231884057971,0.9497716894977168,0.8404040404040404,0.9672963449469361,0.8447488584474886,0.0691695245089321,,,
