Model,CV ROC-AUC,CV Accuracy,CV F1,CV Brier Score
Random Forest (Baseline),0.9417472873444778,0.8784042228370323,0.8081866204351902,0.09066286477810853
HistGradientBoosting,0.9488949762591709,0.8820581189636009,0.8129977274913962,0.08654028836136746
Artificial Neural Network (MLP),0.941363651639667,0.8746500394399452,0.8040775339652576,0.09358640058505416
XGBoost,0.9483834355901216,0.879012123850114,0.8053035511838649,0.0911043343988478
Ensemble (Calibrated Average),0.9485743912462298,0.8826634185952091,0.8160992682150812,0.08534359371845361
