year,longitude,latitude,presence,area_km2,protected_km2,eph_km2,biome,ecoregion,Precipitation,Bio_Mean_Temp,Bio_Temp_Range,Bio_Temp_Seasonality,Bio_Precip_Seasonality,Bio_Precip_Log,Temp_Precip_Interaction,Bio_Temp_Sq,Elevation,NDVI
2001,90.78383689481012,26.722986517760145,1,2399.0,525.0,1718.0,Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,3.525061970597711,0.045512031691690547,-0.9458726842394823,-0.711006731745079,-0.8556177205513206,2.0533847529188534,201.48903130808424,590.0850385559934,-1.1798796027314011,3.7893092327438427
2001,89.86210920653984,26.679125895600706,1,3.0,0.0,0.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Terai-Duar savanna and grasslands,2.6642608008053235,0.15957667875947948,-0.864229307545109,-0.6430835308134802,-0.7731245367624466,1.7817150361700789,202.99307628265012,627.0850376023191,-1.1798796027314011,2.7398730825670654
2001,94.58239887752808,28.22287780665704,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1.8541978889662,-0.42975733109076336,-1.3132692808709596,0.06509900248819407,-1.3578178548529531,1.4687716041034033,166.98878927047275,448.0277508629697,-0.16638048009052622,2.0952023333402683
2001,92.46281280876578,27.14816123726625,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,0.28856858244537986,-1.640109926629846,-1.762309721365742,-0.2731442986692642,-1.380512455704607,0.5576294391696793,95.85942785591712,174.46006104681237,-0.9878521431801902,0.6896888963950868
2001,96.20314778641072,28.852875096191376,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,-0.31703692338775147,-2.9645271692367183,-0.82340715202899,0.5766393061348677,-1.3939099806964932,-0.04326541009834757,30.78390323540856,20.25,0.37091268846184244,-0.3734305768153062
2001,93.74594170371236,27.703019670861867,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,0.8258962678379512,-1.1078080952727989,-1.3540914363870775,-0.05488062599013607,-1.2198926926968732,0.9386022775462317,125.67412042364356,279.1684240235227,-0.550771920746591,0.8110021488743788
2001,92.65726292123622,27.42518163922509,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,0.08937258639503289,-1.6717945024684435,-1.5582003452919444,-0.21278768511638038,-1.3639187375678523,0.3861894859535285,92.80217488875512,169.0,-0.8240277411266059,0.49718609897256105
2001,94.3517314498673,28.51821683734149,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,0.6140469815213533,-1.3802959116149724,-0.9866943725866705,0.15525567522202569,-1.3094021373296165,0.8001622838003232,110.7660349554854,222.5069539282058,-0.031862001733707346,0.8397060642585484
2001,95.84424031350852,29.18637459275715,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,-0.22558222811874454,-2.5779747783471056,-0.7009416198184976,0.6142779856757722,-1.3567092618434116,0.06512712451126847,48.70031394816494,49.58506720595892,0.5251937817994643,-0.33698102390176
2001,92.72813130709892,27.305926864378275,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1.2737734079867664,-0.5438219781585523,-1.2316254370076551,-0.2594984919488853,-1.1255570145211904,1.1937200305927167,157.17827657329883,416.840251816644,-0.8783193856552387,1.4676482627053473
