year,longitude,latitude,presence,area_km2,protected_km2,eph_km2,biome,ecoregion,Precipitation,Bio_Mean_Temp,Bio_Temp_Range,Bio_Temp_Seasonality,Bio_Precip_Seasonality,Bio_Precip_Log,Temp_Precip_Interaction,Bio_Temp_Sq
2001,90.78383689481012,26.722986517760145,1,2399.0,525.0,1718.0,Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,4001.099609375,24.29166603088379,9.75,323.0443115234375,98.99187469482422,8.294574404732732,201.48903130808424,590.0850385559934
2001,89.86210920653984,26.679125895600706,1,3.0,0.0,0.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Terai-Duar savanna and grasslands,3314.0,25.04166603088379,9.916666030883789,334.45123291015625,101.42513275146484,8.106212902619962,202.99307628265018,627.0850376023191
2001,94.58239887752808,28.222877806657042,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2667.400146484375,21.16666603088379,9.0,453.3823547363281,84.17874145507812,7.889234375731317,166.98878927047275,448.0277508629697
2001,92.46281280876578,27.148161237266258,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1417.7000732421875,13.208333015441895,8.083333015441895,396.5782775878906,83.50933074951172,7.257496289944207,95.85942785591713,174.46006104681237
2001,96.20314778641071,28.852875096191376,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,934.300048828125,4.5,10.0,539.2896728515625,83.11415100097656,6.840867385646347,30.783903235408562,20.25
2001,93.74594170371236,27.703019670861867,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1846.60009765625,16.70833396911621,8.916666030883789,433.233154296875,88.2470474243164,7.521642831412181,125.67412042364357,279.1684240235227
2001,92.65726292123622,27.425181639225094,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1258.699951171875,13.0,8.5,406.7144775390625,83.99878692626953,7.138628837596547,92.80217488875512,169.0
2001,94.3517314498673,28.518216837341498,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1677.5,14.916666984558105,9.666666984558105,468.52313232421875,85.6068344116211,7.42565581642009,110.76603495548541,222.5069539282058
2001,95.84424031350851,29.18637459275715,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1007.300048828125,7.041666507720947,10.25,545.6106567382812,84.21144104003906,6.916021071825356,48.70031394816494,49.58506720595892
2001,92.72813130709892,27.305926864378275,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2204.099853515625,20.41666603088379,9.166666984558105,398.86993408203125,91.02961730957031,7.6985280718967095,157.17827657329883,416.840251816644
2001,93.04888909163148,27.794421573420117,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,931.5,10.083333015441895,9.666666984558105,455.9026184082031,86.72783660888672,6.837869151517971,68.94851177077281,101.67360470030053
2001,93.73531702543956,28.517786832932774,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,978.0,10.125,10.583333969116211,504.2010803222656,87.85482788085938,6.88653164253051,69.72613288062142,102.515625
2001,96.09393484796769,28.3478072269066,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1828.900146484375,13.333333015441895,10.000000953674316,502.21728515625,87.48571014404297,7.512016679584119,100.16022000644912,177.77776930067284
2001,97.17326052833552,28.220255325489042,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,913.1000366210938,2.4583332538604736,9.75,560.6760864257812,81.12089538574219,6.8179400147222315,16.76076866101763,6.043402387036224
2001,95.16904199750734,28.27409567972343,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2473.900146484375,20.66666603088379,8.666666030883789,459.7704772949219,81.80807495117188,7.813955329334117,161.48840517159275,427.1110848320859
2001,93.11581232645727,27.428222701761957,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1750.2999267578125,16.83333396911621,8.666666030883789,417.9978942871094,88.97409057617188,7.468113606457007,125.71325045679171,283.3611325158017
2001,97.12899683302895,27.96171403510447,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1001.7999877929688,2.875,9.416666984558105,525.2479248046875,80.73949432373047,6.910551354111191,19.867835143069673,8.265625
2001,96.01826704286002,28.37496562758873,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1817.5,13.458333015441895,9.583333015441895,492.63671875,87.2420654296875,7.5057672644270435,101.01511538106148,181.12672755453332
2001,92.90877601689529,27.606892991215062,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1932.3001708984375,18.54166603088379,9.416666984558105,417.5615234375,89.71998596191406,7.56698375473572,140.30448564143276,343.7933792008298
2001,94.9768756358165,28.795227081324395,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1571.9000244140625,14.708333015441895,10.083333015441895,484.10498046875,83.39540100097656,7.360676343768285,108.2632788830292,216.33506009313805
2001,94.20381519203447,28.91175811980189,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,722.2999877929688,6.208333492279053,10.416666984558105,549.4157104492188,86.22206115722656,6.5838240569783775,40.87457540021141,38.54340475135382
2001,95.74151859618493,29.030375795183197,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1132.699951171875,9.791666984558105,10.916666030883789,503.0980224609375,84.30774688720703,7.033241855953847,68.86716207535545,95.87674233648522
2001,95.60976153375883,28.589354591062047,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1460.0999755859375,12.0,9.666667938232422,492.4429016113281,84.57503509521484,7.286944838968667,87.44333806762401,144.0
2001,93.01704337940099,27.903788957046018,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1027.699951171875,11.458333015441895,9.916666030883789,452.5199279785156,87.00151824951172,6.936051100671128,79.47558332361208,131.29339549276574
2001,94.63247568808531,28.051145530514173,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2372.10009765625,19.25,8.666666984558105,448.376708984375,84.50370788574219,7.771952437449314,149.61008442089928,370.5625
2001,93.07605636624093,27.88231121242672,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1278.9000244140625,13.583333015441895,9.833333015441895,438.19390869140625,87.91270446777344,7.154537247936722,97.18246201010767,184.5069358083938
2001,92.20785143768407,27.497541049601637,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,837.199951171875,6.541666507720947,9.75,441.8041687011719,80.25175476074219,6.73125667723742,44.03363636035702,42.793400698237974
2001,94.31590203384052,28.908981340060073,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,705.5999755859375,4.125,10.25,568.3034057617188,85.25592041015625,6.560464700373583,27.06191688904103,17.015625
2001,95.84085052092772,29.13800687905456,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1133.2999267578125,8.416666984558105,10.333333015441895,539.6115112304688,84.53138732910156,7.03377093499461,59.200907605513535,70.84028312895043
2001,95.16987224998581,28.07561719723894,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2212.5,18.20833396911621,8.583333015441895,447.4270935058594,83.5794677734375,7.702330252172196,140.24660157197843,331.5434259308713
2001,94.83748502122607,28.99000149532148,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2130.699951171875,19.70833396911621,10.250000953674316,491.3664245605469,82.7867202758789,7.664675039533428,151.0579754438738,388.41842783821994
2001,95.1800041131875,28.833494032161372,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1393.89990234375,12.875,10.75,480.50537109375,83.48158264160156,7.2405779370886885,93.22244094001687,165.765625
2001,95.54179499604498,28.792206049406992,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1314.7999267578125,11.541666984558105,10.25,512.940185546875,84.15061950683594,7.182200068988279,82.89456141273297,133.2100767824386
2001,95.821771050552,28.470372297684435,1,61207.0,10.0,53647.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2205.199951171875,18.33333396911621,9.500000953674316,497.63330078125,85.89173889160156,7.6990268354030515,141.14883021063204,336.11113442315036
2001,93.19854958350274,25.474136130981407,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,1586.300048828125,23.66666603088379,10.166666030883789,392.8174743652344,80.76696014404297,7.369789769339945,174.41835318879254,560.1110810173886
2001,93.35258707521928,26.503635680515686,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,2194.7001953125,22.83333396911621,9.333333969116211,395.9867858886719,92.17015838623047,7.694256270227558,175.6855230620723,521.3611401451963
2001,93.41856811635131,25.440104391280272,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,1755.5999755859375,22.625,10.25,390.57916259765625,79.93414306640625,7.471135387584541,169.03443814410022,511.890625
2001,92.92379310723416,26.307018172220413,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,1955.5001220703125,23.125,9.416667938232422,386.2884216308594,92.77405548095703,7.578912504042652,175.26235165598632,534.765625
2001,93.1045493201405,26.37309306670214,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,2125.5,21.83333396911621,9.5,392.2867431640625,92.41012573242188,7.662232714693689,167.29208580899524,476.69447220696384
2001,92.87595566668978,24.97210224532886,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,2232.39990234375,24.66666603088379,10.333333969116211,353.749755859375,81.49250030517578,7.711280323286317,190.21157640502918,608.4444130791562
2001,93.74947211005546,26.40332815854945,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,1919.0,23.70833396911621,9.916666030883789,378.29571533203125,86.46134185791016,7.560080465021827,179.23691249812887,562.0850995911496
2001,93.09288684772348,24.983559812281904,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,2000.4998779296875,23.91666603088379,10.0,338.3990173339844,80.3358154296875,7.601652117443212,181.8061749758499,572.0069140328305
2001,92.68695562079051,25.45539037391302,1,17373.0,301.0,11724.0,Tropical & Subtropical Moist Broadleaf Forests,Meghalaya subtropical forests,2360.5,21.79166603088379,9.916666030883789,372.18853759765625,88.45320129394531,7.7670522893361715,169.25700953362522,474.87670840157443
2001,96.61470408543053,27.435384933384842,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,3039.800048828125,18.33333396911621,8.333333015441895,424.91827392578125,96.96296691894531,8.019875933732697,147.03106388399925,336.11113442315036
2001,96.92529872963733,27.321151131620613,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2651.89990234375,15.5,8.833333015441895,427.68756103515625,93.87393951416016,7.883408623438667,122.19283366329934,240.25
2001,96.74957106814215,27.895992171208917,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2099.300048828125,13.375,8.916666984558105,489.0999450683594,91.72692108154297,7.649835493899428,102.31654973090485,178.890625
2001,96.50857553407849,27.434858170495783,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2910.699951171875,17.79166603088379,8.249999046325684,424.97955322265625,95.17352294921875,7.976492365261798,141.91508826063222,316.5433801545041
2001,97.04838808208139,27.253972825766205,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,1473.4000244140625,8.458333015441895,8.583333969116211,430.33819580078125,82.24168395996094,7.296006422914256,61.71205200781177,71.54339740011437
2001,96.57753945570478,27.492838410435603,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,3294.7001953125,20.16666603088379,8.499999046325684,428.8226623535156,98.87966918945312,8.100373926732194,163.35753570568687,406.6944188012021
2001,95.61199245981553,27.11435115992274,1,13095.0,0.0,10788.0,Temperate Broadleaf & Mixed Forests,Eastern Himalayan broadleaf forests,2744.89990234375,19.83333396911621,8.500000953674316,379.87567138671875,89.38786315917969,7.917864133494456,157.03764368168248,393.361136330499
2001,94.29780601506528,26.065867633227732,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,1932.400146484375,20.91666603088379,9.833333969116211,374.6294250488281,86.7862777709961,7.567035465795669,158.27715368190115,437.5069178475278
2001,94.4283714331987,26.046544647662603,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,1982.600341796875,21.375,10.083332061767578,362.3562927246094,87.55780792236328,7.592668826926355,162.29329617555084,456.890625
2001,94.15395952521888,25.858128092975537,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,1888.0001220703125,19.125,9.75,355.97576904296875,88.64765167236328,7.543802932123166,144.27523107685553,365.765625
2001,95.08044608901317,25.9769081511514,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,1915.60009765625,11.5,8.333333969116211,367.4234619140625,90.58720397949219,7.55830811286252,86.92054329791898,132.25
2001,94.11511799358735,26.314387125378747,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,1909.300048828125,23.54166603088379,10.083333969116211,373.8640441894531,82.8405532836914,7.555015602330054,177.85765416817046,554.2100395096677
2001,94.43018797237954,26.472126944951537,1,15600.0,0.0,11468.0,Tropical & Subtropical Moist Broadleaf Forests,Mizoram-Manipur-Kachin rain forests,2133.400146484375,21.16666603088379,9.333333969116211,360.1697082519531,85.38072204589844,7.6659409243515375,162.26241135823355,448.0277508629697
